time_s,normal_force_N,indentation_mm,probe_x_mm,probe_y_mm,probe_z_mm,tangential_force_N,x_displacement_mm
0.5,6.25,3.4918,-40.0,0.0,-3.4918,0.0,0.0
0.51,6.375,3.4919,-40.0,0.0,-3.4919,0.0,0.0
0.52,6.5,3.5254,-40.0,0.0,-3.5254,0.0,0.0
0.53,6.625,3.6853,-40.0,0.0,-3.6853,0.0,0.0
0.54,6.75,3.7757,-40.0,0.0,-3.7757,0.0,0.0
0.55,6.875,3.8245,-40.0,0.0,-3.8245,0.0,0.0
0.56,7.0,3.7397,-40.0,0.0,-3.7397,0.0,0.0
0.57,7.125,3.8389,-40.0,0.0,-3.8389,0.0,0.0
0.58,7.25,3.947,-40.0,0.0,-3.947,0.0,0.0
0.59,7.375,4.0553,-40.0,0.0,-4.0553,0.0,0.0
0.6,7.5,3.9958,-40.0,0.0,-3.9958,0.0,0.0
0.61,7.625,4.0761,-40.0,0.0,-4.0761,0.0,0.0
0.62,7.75,4.0592,-40.0,0.0,-4.0592,0.0,0.0
0.63,7.875,4.1088,-40.0,0.0,-4.1088,0.0,0.0
0.64,8.0,4.3264,-40.0,0.0,-4.3264,0.0,0.0
0.65,8.125,4.4267,-40.0,0.0,-4.4267,0.0,0.0
0.66,8.25,4.3692,-40.0,0.0,-4.3692,0.0,0.0
0.67,8.375,4.5121,-40.0,0.0,-4.5121,0.0,0.0
0.68,8.5,4.5176,-40.0,0.0,-4.5176,0.0,0.0
0.69,8.625,4.4938,-40.0,0.0,-4.4938,0.0,0.0
0.7,8.75,4.6312,-40.0,0.0,-4.6312,0.0,0.0
0.71,8.875,4.7821,-40.0,0.0,-4.7821,0.0,0.0
0.72,9.0,4.713,-40.0,0.0,-4.713,0.0,0.0
0.73,9.125,4.8979,-40.0,0.0,-4.8979,0.0,0.0
0.74,9.25,4.62,-40.0,0.0,-4.62,0.0,0.0
0.75,9.375,4.9521,-40.0,0.0,-4.9521,0.0,0.0
0.76,9.5,4.9501,-40.0,0.0,-4.9501,0.0,0.0
0.77,9.625,4.9761,-40.0,0.0,-4.9761,0.0,0.0
0.78,9.75,5.0642,-40.0,0.0,-5.0642,0.0,0.0
0.79,9.875,4.9546,-40.0,0.0,-4.9546,0.0,0.0
0.8,10.0,5.1529,-40.0,0.0,-5.1529,0.0,0.0
0.81,10.125,5.2558,-40.0,0.0,-5.2558,0.0,0.0
0.82,10.25,5.4023,-40.0,0.0,-5.4023,0.0,0.0
0.83,10.375,5.2994,-40.0,0.0,-5.2994,0.0,0.0
0.84,10.5,5.333,-40.0,0.0,-5.333,0.0,0.0
0.85,10.625,5.4144,-40.0,0.0,-5.4144,0.0,0.0
0.86,10.75,5.5846,-40.0,0.0,-5.5846,0.0,0.0
0.87,10.875,5.5945,-40.0,0.0,-5.5945,0.0,0.0
0.88,11.0,5.5826,-40.0,0.0,-5.5826,0.0,0.0
0.89,11.125,5.7229,-40.0,0.0,-5.7229,0.0,0.0
0.9,11.25,5.7464,-40.0,0.0,-5.7464,0.0,0.0
0.91,11.375,5.8729,-40.0,0.0,-5.8729,0.0,0.0
0.92,11.5,5.7961,-40.0,0.0,-5.7961,0.0,0.0
0.93,11.625,5.8829,-40.0,0.0,-5.8829,0.0,0.0
0.94,11.75,5.9345,-40.0,0.0,-5.9345,0.0,0.0
0.95,11.875,5.9056,-40.0,0.0,-5.9056,0.0,0.0
0.96,12.0,6.1032,-40.0,0.0,-6.1032,0.0,0.0
0.97,12.125,6.1572,-40.0,0.0,-6.1572,0.0,0.0
0.98,12.25,6.1936,-40.0,0.0,-6.1936,0.0,0.0
0.99,12.375,6.2312,-40.0,0.0,-6.2312,0.0,0.0
1.0,12.5,6.1936,-40.0,0.0,-6.1936,0.0,0.0
1.01,12.625,6.33,-40.0,0.0,-6.33,0.0,0.0
1.02,12.75,6.393,-40.0,0.0,-6.393,0.0,0.0
1.03,12.875,6.4131,-40.0,0.0,-6.4131,0.0,0.0
1.04,13.0,6.5212,-40.0,0.0,-6.5212,0.0,0.0
1.05,13.125,6.6232,-40.0,0.0,-6.6232,0.0,0.0
1.06,13.25,6.7986,-40.0,0.0,-6.7986,0.0,0.0
1.07,13.375,6.7185,-40.0,0.0,-6.7185,0.0,0.0
1.08,13.5,6.782,-40.0,0.0,-6.782,0.0,0.0
1.09,13.625,6.8122,-40.0,0.0,-6.8122,0.0,0.0
1.1,13.75,6.7215,-40.0,0.0,-6.7215,0.0,0.0
1.11,13.875,6.9297,-40.0,0.0,-6.9297,0.0,0.0
1.12,14.0,6.9935,-40.0,0.0,-6.9935,0.0,0.0
1.13,14.125,7.2425,-40.0,0.0,-7.2425,0.0,0.0
1.14,14.25,7.0869,-40.0,0.0,-7.0869,0.0,0.0
1.15,14.375,7.1832,-40.0,0.0,-7.1832,0.0,0.0
1.16,14.5,7.2131,-40.0,0.0,-7.2131,0.0,0.0
1.17,14.625,7.1792,-40.0,0.0,-7.1792,0.0,0.0
1.18,14.75,7.421,-40.0,0.0,-7.421,0.0,0.0
1.19,14.875,7.4465,-40.0,0.0,-7.4465,0.0,0.0
1.2,15.0,7.5065,-40.0,0.0,-7.5065,6.75,0.0
1.21,15.0,6.7454,-39.5556,0.0,-6.7454,6.75,0.0056
1.22,15.0,6.9304,-39.1111,0.0,-6.9304,6.75,0.0116
1.23,15.0,6.706,-38.6667,0.0,-6.706,6.75,0.0168
1.24,15.0,6.8651,-38.2222,0.0,-6.8651,6.75,0.0229
1.25,15.0,6.9934,-37.7778,0.0,-6.9934,6.75,0.0291
1.26,15.0,6.7389,-37.3333,0.0,-6.7389,6.75,0.0337
1.27,15.0,6.7729,-36.8889,0.0,-6.7729,6.75,0.0395
1.28,15.0,6.8262,-36.4444,0.0,-6.8262,6.75,0.0455
1.29,15.0,6.7779,-36.0,0.0,-6.7779,6.75,0.0508
1.3,15.0,6.6941,-35.5556,0.0,-6.6941,6.75,0.0558
1.31,15.0,6.8237,-35.1111,0.0,-6.8237,6.75,0.0626
1.32,15.0,6.7332,-34.6667,0.0,-6.7332,6.75,0.0673
1.33,15.0,6.8561,-34.2222,0.0,-6.8561,6.75,0.0743
1.34,15.0,6.7446,-33.7778,0.0,-6.7446,6.75,0.0787
1.35,15.0,6.9422,-33.3333,0.0,-6.9422,6.75,0.0868
1.36,15.0,6.7555,-32.8889,0.0,-6.7555,6.75,0.0901
1.37,15.0,6.7924,-32.4444,0.0,-6.7924,6.75,0.0962
1.38,15.0,6.8833,-32.0,0.0,-6.8833,6.75,0.1032
1.39,15.0,6.7197,-31.5556,0.0,-6.7197,6.75,0.1064
1.4,15.0,6.8364,-31.1111,0.0,-6.8364,6.75,0.1139
1.41,15.0,6.9228,-30.6667,0.0,-6.9228,6.75,0.1211
1.42,15.0,6.6896,-30.2222,0.0,-6.6896,6.75,0.1226
1.43,15.0,6.833,-29.7778,0.0,-6.833,6.75,0.131
1.44,15.0,6.839,-29.3333,0.0,-6.839,6.75,0.1368
1.45,15.0,6.8807,-28.8889,0.0,-6.8807,6.75,0.1433
1.46,15.0,6.7192,-28.4444,0.0,-6.7192,6.75,0.1456
1.47,15.0,6.7125,-28.0,0.0,-6.7125,6.75,0.151
1.48,15.0,6.8599,-27.5556,0.0,-6.8599,6.75,0.1601
1.49,15.0,6.8419,-27.1111,0.0,-6.8419,6.75,0.1653
1.5,15.0,6.8382,-26.6667,0.0,-6.8382,6.75,0.171
1.51,15.0,6.8459,-26.2222,0.0,-6.8459,6.75,0.1769
1.52,15.0,6.7638,-25.7778,0.0,-6.7638,6.75,0.1804
1.53,15.0,6.8368,-25.3333,0.0,-6.8368,6.75,0.188
1.54,15.0,6.8416,-24.8889,0.0,-6.8416,6.75,0.1938
1.55,15.0,6.761,-24.4444,0.0,-6.761,6.75,0.1972
1.56,15.0,6.9674,-24.0,0.0,-6.9674,6.75,0.209
1.57,15.0,6.8561,-23.5556,0.0,-6.8561,6.75,0.2114
1.58,15.0,6.7229,-23.1111,0.0,-6.7229,6.75,0.2129
1.59,15.0,6.8707,-22.6667,0.0,-6.8707,6.75,0.2233
1.6,15.0,6.7402,-22.2222,0.0,-6.7402,6.75,0.2247
1.61,15.0,6.8811,-21.7778,0.0,-6.8811,6.75,0.2351
1.62,15.0,6.9109,-21.3333,0.0,-6.9109,6.75,0.2419
1.63,15.0,6.7525,-20.8889,0.0,-6.7525,6.75,0.242
1.64,15.0,6.8953,-20.4444,0.0,-6.8953,6.75,0.2528
1.65,15.0,6.8512,-20.0,0.0,-6.8512,6.75,0.2569
1.66,15.0,6.8839,-19.5556,0.0,-6.8839,6.75,0.2639
1.67,15.0,6.9699,-19.1111,0.0,-6.9699,6.75,0.273
1.68,15.0,6.7986,-18.6667,0.0,-6.7986,6.75,0.2719
1.69,15.0,6.7579,-18.2222,0.0,-6.7579,6.75,0.2759
1.7,15.0,6.747,-17.7778,0.0,-6.747,6.75,0.2811
1.71,15.0,6.7529,-17.3333,0.0,-6.7529,6.75,0.287
1.72,15.0,6.812,-16.8889,0.0,-6.812,6.75,0.2952
1.73,15.0,6.8455,-16.4444,0.0,-6.8455,6.75,0.3023
1.74,15.0,6.8403,-16.0,0.0,-6.8403,6.75,0.3078
1.75,15.0,6.8844,-15.5556,0.0,-6.8844,6.75,0.3155
1.76,15.0,6.8192,-15.1111,0.0,-6.8192,6.75,0.3182
1.77,15.0,6.9345,-14.6667,0.0,-6.9345,6.75,0.3294
1.78,15.0,6.797,-14.2222,0.0,-6.797,6.75,0.3285
1.79,15.0,7.0358,-13.7778,0.0,-7.0358,6.75,0.3459
1.8,15.0,6.8682,-13.3333,0.0,-6.8682,6.75,0.3434
1.81,15.0,6.7496,-12.8889,0.0,-6.7496,6.75,0.3431
1.82,15.0,6.7325,-12.4444,0.0,-6.7325,6.75,0.3478
1.83,15.0,6.8568,-12.0,0.0,-6.8568,6.75,0.36
1.84,15.0,6.8003,-11.5556,0.0,-6.8003,6.75,0.3627
1.85,15.0,6.8753,-11.1111,0.0,-6.8753,6.75,0.3724
1.86,15.0,6.856,-10.6667,0.0,-6.856,6.75,0.3771
1.87,15.0,6.8124,-10.2222,0.0,-6.8124,6.75,0.3804
1.88,15.0,6.7504,-9.7778,0.0,-6.7504,6.75,0.3825
1.89,15.0,6.697,-9.3333,0.0,-6.697,6.75,0.3851
1.9,15.0,6.7825,-8.8889,0.0,-6.7825,6.75,0.3956
1.91,15.0,6.8867,-8.4444,0.0,-6.8867,6.75,0.4075
1.92,15.0,6.8353,-8.0,0.0,-6.8353,6.75,0.4101
1.93,15.0,6.7185,-7.5556,0.0,-6.7185,6.75,0.4087
1.94,15.0,6.832,-7.1111,0.0,-6.832,6.75,0.4213
1.95,15.0,6.849,-6.6667,0.0,-6.849,6.75,0.4281
1.96,15.0,6.7475,-6.2222,0.0,-6.7475,6.75,0.4273
1.97,15.0,6.8305,-5.7778,0.0,-6.8305,6.75,0.4383
1.98,15.0,6.8228,-5.3333,0.0,-6.8228,6.75,0.4435
1.99,15.0,6.7267,-4.8889,0.0,-6.7267,6.75,0.4428
2.0,15.0,6.8468,-4.4444,0.0,-6.8468,6.75,0.4565
2.01,15.0,6.863,-4.0,0.0,-6.863,6.75,0.4633
2.02,15.0,6.9048,-3.5556,0.0,-6.9048,6.75,0.4718
2.03,15.0,6.9025,-3.1111,0.0,-6.9025,6.75,0.4774
2.04,15.0,6.708,-2.6667,0.0,-6.708,6.75,0.4696
2.05,15.0,6.7432,-2.2222,0.0,-6.7432,6.75,0.4776
2.06,15.0,6.8594,-1.7778,0.0,-6.8594,6.75,0.4916
2.07,15.0,6.8593,-1.3333,0.0,-6.8593,6.75,0.4973
2.08,15.0,6.8594,-0.8889,0.0,-6.8594,6.75,0.503
2.09,15.0,7.1264,-0.4444,0.0,-7.1264,6.75,0.5285
2.1,15.0,6.8639,0.0,0.0,-6.8639,6.75,0.5148
2.11,15.0,6.909,0.4444,0.0,-6.909,6.75,0.5239
2.12,15.0,6.8945,0.8889,0.0,-6.8945,6.75,0.5286
2.13,15.0,6.8703,1.3333,0.0,-6.8703,6.75,0.5324
2.14,15.0,6.793,1.7778,0.0,-6.793,6.75,0.5321
2.15,15.0,6.8789,2.2222,0.0,-6.8789,6.75,0.5446
2.16,15.0,6.7564,2.6667,0.0,-6.7564,6.75,0.5405
2.17,15.0,6.7992,3.1111,0.0,-6.7992,6.75,0.5496
2.18,15.0,6.7794,3.5556,0.0,-6.7794,6.75,0.5536
2.19,15.0,6.8247,4.0,0.0,-6.8247,6.75,0.563
2.2,15.0,7.0034,4.4444,0.0,-7.0034,6.75,0.5836
2.21,15.0,6.6688,4.8889,0.0,-6.6688,6.75,0.5613
2.22,15.0,6.8731,5.3333,0.0,-6.8731,6.75,0.5842
2.23,15.0,6.6892,5.7778,0.0,-6.6892,6.75,0.5742
2.24,15.0,6.7804,6.2222,0.0,-6.7804,6.75,0.5876
2.25,15.0,6.9053,6.6667,0.0,-6.9053,6.75,0.6042
2.26,15.0,6.8233,7.1111,0.0,-6.8233,6.75,0.6027
2.27,15.0,6.732,7.5556,0.0,-6.732,6.75,0.6003
2.28,15.0,6.761,8.0,0.0,-6.761,6.75,0.6085
2.29,15.0,6.8725,8.4444,0.0,-6.8725,6.75,0.6243
2.3,15.0,6.7598,8.8889,0.0,-6.7598,6.75,0.6196
2.31,15.0,6.8355,9.3333,0.0,-6.8355,6.75,0.6323
2.32,15.0,6.8218,9.7778,0.0,-6.8218,6.75,0.6367
2.33,15.0,6.7661,10.2222,0.0,-6.7661,6.75,0.6371
2.34,15.0,6.9897,10.6667,0.0,-6.9897,6.75,0.664
2.35,15.0,6.8689,11.1111,0.0,-6.8689,6.75,0.6583
2.36,15.0,6.6562,11.5556,0.0,-6.6562,6.75,0.6434
2.37,15.0,6.8331,12.0,0.0,-6.8331,6.75,0.6662
2.38,15.0,6.7652,12.4444,0.0,-6.7652,6.75,0.6652
2.39,15.0,6.8864,12.8889,0.0,-6.8864,6.75,0.6829
2.4,15.0,6.7548,13.3333,0.0,-6.7548,6.75,0.6755
2.41,15.0,6.809,13.7778,0.0,-6.809,6.75,0.6866
2.42,15.0,6.8586,14.2222,0.0,-6.8586,6.75,0.6973
2.43,15.0,6.8874,14.6667,0.0,-6.8874,6.75,0.706
2.44,15.0,6.7222,15.1111,0.0,-6.7222,6.75,0.6946
2.45,15.0,6.7914,15.5556,0.0,-6.7914,6.75,0.7074
2.46,15.0,6.7802,16.0,0.0,-6.7802,6.75,0.7119
2.47,15.0,6.7659,16.4444,0.0,-6.7659,6.75,0.7161
2.48,15.0,6.9594,16.8889,0.0,-6.9594,6.75,0.7423
2.49,15.0,6.8506,17.3333,0.0,-6.8506,6.75,0.7364
2.5,15.0,6.7173,17.7778,0.0,-6.7173,6.75,0.7277
2.51,15.0,6.8916,18.2222,0.0,-6.8916,6.75,0.7523
2.52,15.0,6.988,18.6667,0.0,-6.988,6.75,0.7687
2.53,15.0,6.9008,19.1111,0.0,-6.9008,6.75,0.7648
2.54,15.0,6.6966,19.5556,0.0,-6.6966,6.75,0.7478
2.55,15.0,6.7794,20.0,0.0,-6.7794,6.75,0.7627
2.56,15.0,6.9195,20.4444,0.0,-6.9195,6.75,0.7842
2.57,15.0,6.7616,20.8889,0.0,-6.7616,6.75,0.7719
2.58,15.0,6.8537,21.3333,0.0,-6.8537,6.75,0.7882
2.59,15.0,6.8802,21.7778,0.0,-6.8802,6.75,0.797
2.6,15.0,6.744,22.2222,0.0,-6.744,6.75,0.7868
2.61,15.0,6.8134,22.6667,0.0,-6.8134,6.75,0.8006
2.62,15.0,6.5589,23.1111,0.0,-6.5589,6.75,0.7761
2.63,15.0,6.7362,23.5556,0.0,-6.7362,6.75,0.8027
2.64,15.0,6.798,24.0,0.0,-6.798,6.75,0.8158
2.65,15.0,6.7184,24.4444,0.0,-6.7184,6.75,0.8118
2.66,15.0,6.9488,24.8889,0.0,-6.9488,6.75,0.8454
2.67,15.0,6.7038,25.3333,0.0,-6.7038,6.75,0.8212
2.68,15.0,6.783,25.7778,0.0,-6.783,6.75,0.8366
2.69,15.0,6.8286,26.2222,0.0,-6.8286,6.75,0.8479
2.7,15.0,6.9335,26.6667,0.0,-6.9335,6.75,0.8667
2.71,15.0,6.7033,27.1111,0.0,-6.7033,6.75,0.8435
2.72,15.0,6.9112,27.5556,0.0,-6.9112,6.75,0.8754
2.73,15.0,6.819,28.0,0.0,-6.819,6.75,0.8694
2.74,15.0,6.7397,28.4444,0.0,-6.7397,6.75,0.8649
2.75,15.0,6.8552,28.8889,0.0,-6.8552,6.75,0.8855
2.76,15.0,6.8341,29.3333,0.0,-6.8341,6.75,0.8884
2.77,15.0,6.7702,29.7778,0.0,-6.7702,6.75,0.8858
2.78,15.0,6.8238,30.2222,0.0,-6.8238,6.75,0.8985
2.79,15.0,6.7874,30.6667,0.0,-6.7874,6.75,0.8993
2.8,15.0,6.8273,31.1111,0.0,-6.8273,6.75,0.9103
2.81,15.0,6.8712,31.5556,0.0,-6.8712,6.75,0.9219
2.82,15.0,6.9451,32.0,0.0,-6.9451,6.75,0.9376
2.83,15.0,6.7192,32.4444,0.0,-6.7192,6.75,0.9127
2.84,15.0,6.9888,32.8889,0.0,-6.9888,6.75,0.9551
2.85,15.0,6.662,33.3333,0.0,-6.662,6.75,0.916
2.86,15.0,6.806,33.7778,0.0,-6.806,6.75,0.9415
2.87,15.0,6.8652,34.2222,0.0,-6.8652,6.75,0.9554
2.88,15.0,6.8407,34.6667,0.0,-6.8407,6.75,0.9577
2.89,15.0,6.7684,35.1111,0.0,-6.7684,6.75,0.9532
2.9,15.0,6.8015,35.5556,0.0,-6.8015,6.75,0.9636
2.91,15.0,6.7787,36.0,0.0,-6.7787,6.75,0.966
2.92,15.0,6.771,36.4444,0.0,-6.771,6.75,0.9705
2.93,15.0,6.8861,36.8889,0.0,-6.8861,6.75,0.9928
2.94,15.0,6.8467,37.3333,0.0,-6.8467,6.75,0.9928
2.95,15.0,6.7627,37.7778,0.0,-6.7627,6.75,0.9862
2.96,15.0,6.8901,38.2222,0.0,-6.8901,6.75,1.0106
2.97,15.0,6.8428,38.6667,0.0,-6.8428,6.75,1.0093
2.98,15.0,6.8832,39.1111,0.0,-6.8832,6.75,1.021
2.99,15.0,6.8686,39.5556,0.0,-6.8686,6.75,1.0246
